,username,date_t,text_t,favorites,hashtags,retweets,replies,author_id
428,jsubject,2019-04-21 23:17:15+00:00,Give Persona (including favs Boy With Luv and Mikrokosmos) a listen here: https://open.spotify.com/album/1AvXa8xFEXtR3hb4bgihIK?si=LvfKic9PRnC7kVsnOFbhsg @BTS_twt #BTS #방탄소년단 #PersonaBillboardNo1 #MAP_OF_THE_SOUL_PERSONA,0,#BTS #BTS #PersonaBillboardNo1 #MAP_OF_THE_SOUL_PERSONA,0,0,102123471
429,jooniefighting,2019-04-21 23:17:11+00:00,"우리는 정말로, 역사를 사랑하고 있네요. 방탄소년단. 빌보드 차트 200 1년 새 3번 1위. #MAP_OF_THE_SOUL_PERSONA #PersonaBillboardNo1 @BTS_twt",35,#MAP_OF_THE_SOUL_PERSONA #PersonaBillboardNo1,41,1,1082588294024556544
430,ForeverAloneJLX,2019-04-21 23:17:04+00:00,"Congratulations my boys and BTSARMY, this is the third time, well done #PersonaBillboardNo1 @BTS_twt #방탄소년단 #BTS",1,#PersonaBillboardNo1 #BTS #BTS,1,0,891884593560694784
431,vipdis_py,2019-04-21 23:17:03+00:00,아 진짜 맘아파 안받았다고 하는데 옆에서 아미들이 여깄어요 이거 가져가요 이러는데...진짜 빅히트 왜그런거야...?,0,,0,0,1060545104547475456
432,jjung2_twt,2019-04-21 23:17:00+00:00,빌보드200 1위 축하해요 방탄소년단 #PersonaBillboardNo1 #BTS @BTS_twt,6,#PersonaBillboardNo1 #BTS #BTS,9,0,1080400699538604032
433,gabi_armani,2019-04-21 23:16:34+00:00,Es que no puedo estar más orgullosa de los chicos!!! Esto realmente lo siento como si fuera un triunfo propio!!! Gracias Bangtan por llegar a mi vida y llenarme de cosas hermosas!!! @BTS_twt #방탄소년단 #PersonaBillboardNo1,5,#PersonaBillboardNo1,2,0,866449864225325056
434,uuukorea3,2020-08-27 04:49:09+00:00,요새 자도 자도 피곤해서 힘들었는데 친구가 밀크씨슬을 추천하더라구요. 사기 전에 알아보니까 간이 안 좋으면 만성피로이기 쉽다고 해서 먹어보려고 구매했어요. 한 2주 먹었는데 확실히 아침에 일어나기가 좀 더 수월하고 피곤한 것도 덜하네요~ 마침 특별할인 이벤트 하던데 궁금하신분은↓↓클릭,122,,36,0,1267643783962718208
435,xoxo1995_w,2019-04-21 23:16:23+00:00, Congrats #PersonaBillboardNo1 #BTS⁠ ⁠#방탄소년단 @BTS_twt,0,#PersonaBillboardNo1 #BTS #BTS,0,0,2240079854
436,KIMfanfan_,2019-04-21 23:16:07+00:00,My baby My sunshine #GoodmorningTaehyung #V #BTS #BTSV #Taehyung #KimTaehyung #뷔 #방탄소년단 #방탄소년단뷔 #태형 #김태형 #보라해 #ブイ #防弾少年団 #金泰亨 #テテ #テヒョン #Singularity #싱귤래리티 #CG뷔 @BTS_twt,3,#GoodmorningTaehyung #V #BTS #BTS #BTSV #Taehyung #KimTaehyung #Singularity #CG,0,0,969929086117163008
437,ARMY_1414,2019-04-21 23:16:07+00:00,Hoy estaba tomando algo con mis amigos en un bar y ha sonado #BoyWithLuv me ha hecho tanta emoción que no he podido evitar cortar la conversación y ponerme a cantar #BTS #방탄소년단,0,#BoyWithLuv #BTS #BTS,0,0,1106487386832289792
438,iibwii,2019-04-21 23:16:06+00:00,"Good morning little angel Tae! may you have great and healthy mornings. May your leg heal faster, may your mom and dad shower you with kisses and hugs. May your brothers love you always. Eat well! #GoodMorningTaehyung #V #BTSV #CGV #KimTaehyung @BTS_twt #방탄소년단 #뷔 #김태형",19,#GoodMorningTaehyung #V #BTSV #CGV #KimTaehyung,16,0,872364171794448389
439,diasi18,2019-04-21 23:16:04+00:00,"Hablemos con hechos de por qué son llamados ""Los Príncipes del Pop"", ""La boyband más grande del mundo"". ☆ Nro. 1 para Persona en BB200 por tercera vez en un año ☆ Esto se logra después de 1996 @BTS_twt #PersonaBillboardNo1 #BoyWithLuv #방탄소년단",1,#PersonaBillboardNo1 #BoyWithLuv,1,0,362216867
440,nanaland_jm,2019-04-21 23:16:01+00:00,레전드 방탄소년단~ #PersonaBillboardNo1 @BTS_twt,0,#PersonaBillboardNo1,0,0,917008801110228994
441,Rosie__hyo,2019-04-21 23:15:57+00:00,시발 빅히트 마지막 팬싸래서 공개팬싸임에도 불구하고 평소컷보다 10장을 더 샀는데 갑자기 비공팬싸를 추가해??? 존나 개 양아치샛기들,0,,0,0,2455132712
442,army_enceladus,2019-04-21 23:15:55+00:00,"365 güne, 3 tane BB200 1. liği sığdırmak çok çalıştınız, çok emek verdiniz.. biliyorum hiçbir zirve hiçbir rekor bunu karşılayamaz lakin tebrikler sizinle gurur duyuyorum @BTS_twt #PersonaBillboardNo1 #BTS #방탄소년단 #BTSARMY",1,#PersonaBillboardNo1 #BTS #BTS #BTSARMY #BTSARMY,0,0,992015117628960768
443,Julia41818416,2019-04-21 23:15:50+00:00, #BTS #방탄소년단 #Fansign #Namjoon,0,#BTS #BTS #Fansign #Namjoon,0,0,990589022862036992
444,ryeojiniloves,2019-04-21 23:15:45+00:00,우리 방탄 세번째 빌보드 200 넘버원 너무너무 축하해!!! you deserve this and more 아미랑 같이 역사를 만들자 너희 덕분에 오늘도 감사하고 행복해 #PersonaBillboardNo1 #BTS #방탄소년단 @BTS_twt,2,#PersonaBillboardNo1 #BTS #BTS,3,0,1049511366636138496
445,maggiemarss,2019-04-21 23:15:36+00:00,#PersonaBillboardNo1 #BTS #방탄소년단 @BTS_twt,0,#PersonaBillboardNo1 #BTS #BTS,0,0,202817419
446,Sandy_AF4,2019-04-21 23:15:34+00:00,"@BTS_twt una vez más nos muestra que ""Todo esfuerzo es recompensado"" Aplausos para nuestros Príncipes del pop !! #BTS #방탄소년단 #PersonaBillboardNo1",4,#BTS #BTS #PersonaBillboardNo1,0,0,949365026531500032
447,ChinChi85232890,2019-04-21 23:15:33+00:00, #방탄소년단 #진 #석진 #김석진 #방탄진 #방탄소년단진 #BTS #JIN #SEOKJIN #防弾少年団 #金碩珍 #ソクジン #ジンニム #WorldwideHandsome @BTS_twt,1,#BTS #BTS #JIN #SEOKJIN #WorldwideHandsome,0,0,1106091402620866561
448,sujim_filter,2019-04-21 23:15:17+00:00,Si pusiera una tienda online estarían dispuesta a pagar envío a región? Al menos al principio Hasta que tenga una capital estable y pueda pagar Yo? :( #BTS #방탄소년단 #BTSARMY @BTS_twt,1,#BTS #BTS #BTSARMY #BTSARMY,0,0,836104071434076160
449,uuukorea4,2020-08-04 08:22:54+00:00,"요즘 살 빼려고 식단 관리 중인데 이 단백질쉐이크 진짜 좋아요. 맛이 질리지 않고 포만감이 좋아서 저녁마다 먹는데, 한끼 칼로리도 95kcal 밖에 안된다고 합니다. 몸 관리하시는 분들한테 식사 대용으로 딱입니다. 운동은 귀찮고 배고픈건 싫은 분들한테 완전 추천!!!",3521,,1358,60,1267644552535367680
450,minstradamous,2019-04-21 23:15:17+00:00, #PersonaBillboardNo1 @BTS_twt #BTS #방탄소년단 ,0,#PersonaBillboardNo1 #BTS #BTS,0,0,908219785242066944
